date,fuel_cost,fuelling_cost,fuel_cost_VAT,fuelling_cost_VAT,total_cost
01.12.2016,35020,1752,41324,2068,43392
02.12.2016,35020,1752,41324,2068,43392
03.12.2016,36560,1752,43141,2068,45209
04.12.2016,36560,1752,43141,2068,45209
05.12.2016,36560,1752,43141,2068,45209
06.12.2016,36560,1752,43141,2068,45209
07.12.2016,36140,1752,42646,2068,44714
08.12.2016,36140,1752,42646,2068,44714
09.12.2016,35020,1752,41324,2068,43392
10.12.2016,35020,1752,41324,2068,43392
11.12.2016,36560,1752,43141,2068,45209
12.12.2016,36140,1752,42646,2068,44714
13.12.2016,36140,1752,42646,2068,44714
14.12.2016,36140,1752,42646,2068,44714
15.12.2016,36560,1752,43141,2068,45209
16.12.2016,36140,1752,42646,2068,44714
17.12.2016,36140,1752,42646,2068,44714
18.12.2016,36560,1752,43141,2068,45209
19.12.2016,36560,1752,43141,2068,45209
20.12.2016,36560,1752,43141,2068,45209
21.12.2016,36560,1752,43141,2068,45209
22.12.2016,36560,1752,43141,2068,45209
23.12.2016,36140,1752,42646,2068,44714
24.12.2016,36140,1752,42646,2068,44714
25.12.2016,36140,1752,42646,2068,44714
26.12.2016,36140,1752,42646,2068,44714
27.12.2016,36140,1752,42646,2068,44714
28.12.2016,36560,1752,43141,2068,45209
29.12.2016,36560,1752,43141,2068,45209
30.12.2016,36140,1752,42646,2068,44714
31.12.2016,36140,1752,42646,2068,44714
01.01.2017,35590,1752,41997,2068,44065
02.01.2017,35590,1752,41997,2068,44065
03.01.2017,35590,1752,41997,2068,44065
04.01.2017,32990,1752,38929,2068,40997
05.01.2017,35590,1752,41997,2068,44065
06.01.2017,35590,1752,41997,2068,44065
07.01.2017,32990,1752,38929,2068,40997
08.01.2017,35590,1752,41997,2068,44065
09.01.2017,32990,1752,38929,2068,40997
10.01.2017,32990,1752,38929,2068,40997
11.01.2017,35590,1752,41997,2068,44065
12.01.2017,35590,1752,41997,2068,44065
13.01.2017,32990,1752,38929,2068,40997
14.01.2017,35590,1752,41997,2068,44065
15.01.2017,35590,1752,41997,2068,44065
16.01.2017,35590,1752,41997,2068,44065
17.01.2017,35590,1752,41997,2068,44065
18.01.2017,35590,1752,41997,2068,44065
19.01.2017,35590,1752,41997,2068,44065
20.01.2017,35590,1752,41997,2068,44065
21.01.2017,35590,1752,41997,2068,44065
22.01.2017,35590,1752,41997,2068,44065
23.01.2017,35590,1752,41997,2068,44065
24.01.2017,35590,1752,41997,2068,44065
25.01.2017,35590,1752,41997,2068,44065
26.01.2017,32990,1752,38929,2068,40997
27.01.2017,32990,1752,38929,2068,40997
28.01.2017,35590,1752,41997,2068,44065
29.01.2017,35590,1752,41997,2068,44065
30.01.2017,35590,1752,41997,2068,44065
31.01.2017,35590,1752,41997,2068,44065
01.02.2017,35610,1752,42020,2068,44088
02.02.2017,33390,1752,39401,2068,41469
03.02.2017,33390,1752,39401,2068,41469
04.02.2017,33390,1752,39401,2068,41469
05.02.2017,33390,1752,39401,2068,41469
06.02.2017,33390,1752,39401,2068,41469
07.02.2017,33390,1752,39401,2068,41469
08.02.2017,33390,1752,39401,2068,41469
09.02.2017,33390,1752,39401,2068,41469
10.02.2017,33390,1752,39401,2068,41469
11.02.2017,33390,1752,39401,2068,41469
12.02.2017,33390,1752,39401,2068,41469
13.02.2017,33390,1752,39401,2068,41469
14.02.2017,33390,1752,39401,2068,41469
15.02.2017,33390,1752,39401,2068,41469
16.02.2017,33390,1752,39401,2068,41469
17.02.2017,33390,1752,39401,2068,41469
18.02.2017,33390,1752,39401,2068,41469
19.02.2017,33390,1752,39401,2068,41469
20.02.2017,33390,1752,39401,2068,41469
21.02.2017,33390,1752,39401,2068,41469
22.02.2017,33390,1752,39401,2068,41469
23.02.2017,33390,1752,39401,2068,41469
24.02.2017,33390,1752,39401,2068,41469
25.02.2017,33390,1752,39401,2068,41469
26.02.2017,33390,1752,39401,2068,41469
27.02.2017,33390,1752,39401,2068,41469
28.02.2017,33390,1752,39401,2068,41469
